A Rolling Ball of Death	Rolling Death	"{""key"": 2791, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Oswald's Boon	"{""key"": 2270, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Web of Resistance	"{""key"": 2280, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Nuhmudira's Boon	"{""key"": 2286, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Saladur's Boon	"{""key"": 2300, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Arcanum Enlightenment VII	"{""key"": 3512, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Dirty Fighting Mastery Other VII	"{""key"": 5777, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Dual Wield Mastery Other VII	"{""key"": 5801, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Recklessness Mastery Other VII	"{""key"": 5825, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Shield Mastery Other VII	"{""key"": 5849, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Sneak Attack Mastery Other VII	"{""key"": 5873, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Aura of Incantation of Hermetic Link Other	"{""key"": 5989, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Aura of Blood Drinker Other VII	"{""key"": 5996, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Aura of Incantation of Defender Other	"{""key"": 6006, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Aura of Incantation of Heart Seeker Other	"{""key"": 6014, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Aura of Spirit Drinker Other VII	"{""key"": 6021, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Aura of Incantation of Swift Killer Other	"{""key"": 6031, ""value"": { ""casting_likelihood"": 2.02}}"
Honor Knight	Summoning Mastery Other VII	"{""key"": 6114, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Inner Calm	"{""key"": 2067, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Major Coordination	"{""key"": 2572, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Magic Resistance Self VI	"{""key"": 279, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Arcanum Salvaging VII	"{""key"": 3505, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Epic Magic Resistance	"{""key"": 4704, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Novice Negator's Magic Resistance	"{""key"": 4850, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Journeyman Negator's Magic Resistance	"{""key"": 4852, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Master Negator's Magic Resistance	"{""key"": 4853, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Novice Guardian's Invulnerability	"{""key"": 4858, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Journeyman Guardian's Invulnerability	"{""key"": 4860, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Master Guardian's Invulnerability	"{""key"": 4861, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Novice Wayfarer's Impregnability	"{""key"": 4862, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Journeyman Wayfarer's Impregnability	"{""key"": 4864, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Master Wayfarer's Impregnability	"{""key"": 4865, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Novice Challenger's Rejuvenation	"{""key"": 4905, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Apprentice Challenger's Rejuvenation	"{""key"": 4906, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Creature Enchantment Mastery Self III	"{""key"": 559, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Novice Soldier's Shield Aptitude	"{""key"": 5958, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Journeyman Soldier's Shield Aptitude	"{""key"": 5960, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Master Soldier's Shield Aptitude	"{""key"": 5961, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Legendary Strength	"{""key"": 6107, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Weapon Tinkering Expertise Self II	"{""key"": 775, ""value"": { ""casting_likelihood"": 2.02}}"
Hood	Healing Mastery Self II	"{""key"": 875, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Aura of Resistance	"{""key"": 2281, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Minor Healing Prowess	"{""key"": 2548, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Minor Invulnerability	"{""key"": 2550, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Minor Item Enchantment Aptitude	"{""key"": 2551, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Major Coordination	"{""key"": 2572, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Focus Other Incantation	"{""key"": 3978, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Strength Other Incantation	"{""key"": 3979, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Harbinger's Coordination	"{""key"": 4170, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Harbinger's Endurance	"{""key"": 4171, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Harbinger's Focus	"{""key"": 4172, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Harbinger's Quickness	"{""key"": 4173, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Harbinger's Strength	"{""key"": 4174, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Harbinger's Willpower	"{""key"": 4175, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Incantation of Deception Mastery Self	"{""key"": 4542, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Journeyman Negator's Magic Resistance	"{""key"": 4852, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Master Negator's Magic Resistance	"{""key"": 4853, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Journeyman Guardian's Invulnerability	"{""key"": 4860, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Master Guardian's Invulnerability	"{""key"": 4861, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Journeyman Wayfarer's Impregnability	"{""key"": 4864, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Master Wayfarer's Impregnability	"{""key"": 4865, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Novice Challenger's Rejuvenation	"{""key"": 4905, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Apprentice Challenger's Rejuvenation	"{""key"": 4906, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Journeyman Soldier's Shield Aptitude	"{""key"": 5960, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Master Soldier's Shield Aptitude	"{""key"": 5961, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Helm	Legendary Invulnerability	"{""key"": 6055, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Lugian Helm	Might of the 5 Mules	"{""key"": 2086, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Lugian Helm	Web of Resistance	"{""key"": 2280, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Lugian Helm	Moderate Strength	"{""key"": 2663, ""value"": { ""casting_likelihood"": 2.02}}"
Horned Lugian Helm	Moderate Magic Resistance	"{""key"": 2811, ""value"": { ""casting_likelihood"": 2.02}}"
Horrid Remoran	Synaptic Misfire	"{""key"": 2054, ""value"": { ""casting_likelihood"": 2.02}}"
Horrid Remoran	Brittle Bones	"{""key"": 2068, ""value"": { ""casting_likelihood"": 2.02}}"
Horrid Remoran	Belly of Lead	"{""key"": 2084, ""value"": { ""casting_likelihood"": 2.02}}"
Horrid Remoran	Senescence	"{""key"": 2088, ""value"": { ""casting_likelihood"": 2.02}}"
Horrid Remoran	Swordsman's Gift	"{""key"": 2164, ""value"": { ""casting_likelihood"": 2.02}}"
Horrid Remoran	Archer's Gift	"{""key"": 2174, ""value"": { ""casting_likelihood"": 2.02}}"
Horrid Remoran	Gravity Well	"{""key"": 2318, ""value"": { ""casting_likelihood"": 2.02}}"
Horripal	Imperil Other II	"{""key"": 1323, ""value"": { ""casting_likelihood"": 2.02}}"
Horripal	Frost Streak III	"{""key"": 1810, ""value"": { ""casting_likelihood"": 2.02}}"
Horripal	Vulnerability Other II	"{""key"": 230, ""value"": { ""casting_likelihood"": 2.02}}"
Horripal	Frost Bolt III	"{""key"": 71, ""value"": { ""casting_likelihood"": 2.02}}"
Hovoros the Shadowed	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Hovoros the Shadowed	Clouded Soul	"{""key"": 5331, ""value"": { ""casting_likelihood"": 2.02}}"
Hovoros the Shadowed	Incantation of Nether Bolt	"{""key"": 5356, ""value"": { ""casting_likelihood"": 2.02}}"
Hovoros the Shadowed	Incantation of Corrosion	"{""key"": 5394, ""value"": { ""casting_likelihood"": 2.02}}"
Hovoros the Shadowed	Incantation of Corruption	"{""key"": 5402, ""value"": { ""casting_likelihood"": 2.02}}"
Hovoros the Shadowed	Incantation of Nether Blast	"{""key"": 5551, ""value"": { ""casting_likelihood"": 2.02}}"
Hulking Bunny Slippers	Jahannan's Blessing	"{""key"": 2257, ""value"": { ""casting_likelihood"": 2.02}}"
Hulking Bunny Slippers	Saladur's Blessing	"{""key"": 2301, ""value"": { ""casting_likelihood"": 2.02}}"
Hulking Bunny Slippers	Major Sprint	"{""key"": 2529, ""value"": { ""casting_likelihood"": 2.02}}"
Hyem	Cold Vulnerability Other V	"{""key"": 1064, ""value"": { ""casting_likelihood"": 2.02}}"
Hyem	Imperil Other IV	"{""key"": 1325, ""value"": { ""casting_likelihood"": 2.02}}"
Hyem	Slowness Other IV	"{""key"": 1418, ""value"": { ""casting_likelihood"": 2.02}}"
Hyem	Slowness Other V	"{""key"": 1419, ""value"": { ""casting_likelihood"": 2.02}}"
Hyem	Frost Bolt V	"{""key"": 73, ""value"": { ""casting_likelihood"": 2.02}}"
I Run Dis Hive	Lightning Vulnerability Other II	"{""key"": 1085, ""value"": { ""casting_likelihood"": 2.02}}"
I Run Dis Hive	Lightning Vulnerability Other III	"{""key"": 1086, ""value"": { ""casting_likelihood"": 2.02}}"
I Run Dis Hive	Lightning Streak III	"{""key"": 1816, ""value"": { ""casting_likelihood"": 2.02}}"
I Run Dis Hive	Lightning Arc III	"{""key"": 2734, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Heaume of Frore	Minor Flame Ward	"{""key"": 2618, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Heaume of Frore	Minor Frost Ward	"{""key"": 2619, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Storm	Incantation of Frost Blast	"{""key"": 4446, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Storm	Incantation of Frost Volley	"{""key"": 4449, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Tachi	Cold Protection Self III	"{""key"": 1032, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Tachi	Aura of Heart Seeker Self II	"{""key"": 1588, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Tachi	Aura of Defender Self II	"{""key"": 1601, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Tachi	Aura of Blood Drinker Self II	"{""key"": 1612, ""value"": { ""casting_likelihood"": 2.02}}"
Ice Tachi	Aura of Swift Killer Self I	"{""key"": 49, ""value"": { ""casting_likelihood"": 2.02}}"
Icy Tentacle	Imperil Other VI	"{""key"": 1327, ""value"": { ""casting_likelihood"": 2.02}}"
Icy Tentacle	Frost Streak VI	"{""key"": 1813, ""value"": { ""casting_likelihood"": 2.02}}"
Icy Tentacle	Gelidite's Gift	"{""key"": 2168, ""value"": { ""casting_likelihood"": 2.02}}"
Icy Tentacle	Vulnerability Other VI	"{""key"": 234, ""value"": { ""casting_likelihood"": 2.02}}"
Icy Tentacle	Frost Bolt VI	"{""key"": 74, ""value"": { ""casting_likelihood"": 2.02}}"
Idol of the Recluse	Incantation of Creature Enchantment Mastery Self	"{""key"": 4530, ""value"": { ""casting_likelihood"": 2.02}}"
Idol of the Recluse	Legendary Creature Enchantment Aptitude	"{""key"": 6046, ""value"": { ""casting_likelihood"": 2.02}}"
Ill Profit	Flame Bolt I	"{""key"": 27, ""value"": { ""casting_likelihood"": 2.02}}"
Illu Sclavus	Exhaustion Other VI	"{""key"": 199, ""value"": { ""casting_likelihood"": 2.02}}"
Illu Sclavus	Disintegration	"{""key"": 2122, ""value"": { ""casting_likelihood"": 2.02}}"
Illu Sclavus	Ilservian's Flame	"{""key"": 2128, ""value"": { ""casting_likelihood"": 2.02}}"
Illu Sclavus	Tempest	"{""key"": 2142, ""value"": { ""casting_likelihood"": 2.02}}"
Illu Sclavus Soldier	Incantation of Acid Stream	"{""key"": 4433, ""value"": { ""casting_likelihood"": 2.02}}"
Illu Sclavus Soldier	Incantation of Lightning Bolt	"{""key"": 4451, ""value"": { ""casting_likelihood"": 2.02}}"
Illu Sclavus Soldier	Incantation of Lightning Volley	"{""key"": 4453, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Asteliary Orb	Inner Calm	"{""key"": 2067, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Asteliary Orb	Mind Blossom	"{""key"": 2091, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Asteliary Orb	Adja's Boon	"{""key"": 2214, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Asteliary Orb	Harlune's Boon	"{""key"": 2266, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Asteliary Orb	Nuhmudira's Blessing	"{""key"": 2287, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Asteliary Orb	Major Creature Enchantment Aptitude	"{""key"": 2507, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Asteliary Orb	Major Life Magic Aptitude	"{""key"": 2520, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Shield of the Simulacra	Executor's Blessing	"{""key"": 2053, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Shield of the Simulacra	Honed Control	"{""key"": 2059, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Shield of the Simulacra	Might of the Lugians	"{""key"": 2087, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Shield of the Simulacra	Shield Mastery Other VII	"{""key"": 5849, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Shield of the Simulacra	Sneak Attack Mastery Other VII	"{""key"": 5873, ""value"": { ""casting_likelihood"": 2.02}}"
Imbued Shield of the Simulacra	Major Sneak Attack Prowess	"{""key"": 5892, ""value"": { ""casting_likelihood"": 2.02}}"
Imperial Archivist	Gelidite's Gift	"{""key"": 2168, ""value"": { ""casting_likelihood"": 2.02}}"
Imperial Mu-miyah	Exhaustion Other V	"{""key"": 198, ""value"": { ""casting_likelihood"": 2.02}}"
Imperial Mu-miyah	Frost Bolt V	"{""key"": 73, ""value"": { ""casting_likelihood"": 2.02}}"
Impious Staff	Willpower Self VI	"{""key"": 1450, ""value"": { ""casting_likelihood"": 2.02}}"
Impious Staff	Aura of Cragstone's Will	"{""key"": 2101, ""value"": { ""casting_likelihood"": 2.02}}"
Impious Staff	Aura of Mystic's Blessing	"{""key"": 2117, ""value"": { ""casting_likelihood"": 2.02}}"
Impious Staff	Harlune's Blessing	"{""key"": 2267, ""value"": { ""casting_likelihood"": 2.02}}"
Impious Staff	Incantation of Willpower Self	"{""key"": 4329, ""value"": { ""casting_likelihood"": 2.02}}"
Impious Staff	Aura of Incantation of Hermetic Link Self	"{""key"": 4418, ""value"": { ""casting_likelihood"": 2.02}}"
Incalescent Bracelet	Fire Protection Other V	"{""key"": 1095, ""value"": { ""casting_likelihood"": 2.02}}"
Incalescent Bracelet	Minor Strength	"{""key"": 2583, ""value"": { ""casting_likelihood"": 2.02}}"
Incalescent Bracelet	Devourer	"{""key"": 2640, ""value"": { ""casting_likelihood"": 2.02}}"
Incalescent Bracelet	Magic Resistance Other IV	"{""key"": 271, ""value"": { ""casting_likelihood"": 2.02}}"
Incalescent Crystalline Wisp	Flame Volley VI	"{""key"": 146, ""value"": { ""casting_likelihood"": 2.02}}"
Incalescent Crystalline Wisp	Flame Bolt VI	"{""key"": 85, ""value"": { ""casting_likelihood"": 2.02}}"
Incalescent Pillar	Sizzling Fury	"{""key"": 2129, ""value"": { ""casting_likelihood"": 2.02}}"
Incendiary Guard	Cassius' Ring of Fire	"{""key"": 1785, ""value"": { ""casting_likelihood"": 2.02}}"
Incendiary Guard	Slithering Flames	"{""key"": 1841, ""value"": { ""casting_likelihood"": 2.02}}"
Incendiary Guard	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Incendiary Guard	Incantation of Flame Arc	"{""key"": 4423, ""value"": { ""casting_likelihood"": 2.02}}"
Incendiary Guard	Incantation of Flame Bolt	"{""key"": 4439, ""value"": { ""casting_likelihood"": 2.02}}"
Incendiary Guard	Incantation of Fire Vulnerability Other	"{""key"": 4481, ""value"": { ""casting_likelihood"": 2.02}}"
Individuality	Horizon's Blades	"{""key"": 1784, ""value"": { ""casting_likelihood"": 2.02}}"
Individuality	Cassius' Ring of Fire	"{""key"": 1785, ""value"": { ""casting_likelihood"": 2.02}}"
Individuality	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Individuality	Sizzling Fury	"{""key"": 2129, ""value"": { ""casting_likelihood"": 2.02}}"
Individuality	Rending Wind	"{""key"": 2147, ""value"": { ""casting_likelihood"": 2.02}}"
Infectious Rat	Incantation of Imperil Other	"{""key"": 4312, ""value"": { ""casting_likelihood"": 2.02}}"
Infectious Rat	Incantation of Fester Other	"{""key"": 4489, ""value"": { ""casting_likelihood"": 2.02}}"
Infernal Zefir	Frailty Other VI	"{""key"": 1372, ""value"": { ""casting_likelihood"": 2.02}}"
Infernal Zefir	Slowness Other VI	"{""key"": 1420, ""value"": { ""casting_likelihood"": 2.02}}"
Infernal Zefir	Magic Yield Other VI	"{""key"": 285, ""value"": { ""casting_likelihood"": 2.02}}"
Infernal Zefir	Shock Wave VI	"{""key"": 69, ""value"": { ""casting_likelihood"": 2.02}}"
Infernal Zefir	Flame Bolt VI	"{""key"": 85, ""value"": { ""casting_likelihood"": 2.02}}"
Infernal Zefir	Force Bolt VI	"{""key"": 91, ""value"": { ""casting_likelihood"": 2.02}}"
Infernal Zefir	Whirling Blade VI	"{""key"": 97, ""value"": { ""casting_likelihood"": 2.02}}"
Inferno	Fire Vulnerability Other IV	"{""key"": 1106, ""value"": { ""casting_likelihood"": 2.02}}"
Inferno	Flame Volley V	"{""key"": 145, ""value"": { ""casting_likelihood"": 2.02}}"
Inferno	Vulnerability Other IV	"{""key"": 232, ""value"": { ""casting_likelihood"": 2.02}}"
Inferno	Vulnerability Other V	"{""key"": 233, ""value"": { ""casting_likelihood"": 2.02}}"
Inferno	Defenselessness Other IV	"{""key"": 265, ""value"": { ""casting_likelihood"": 2.02}}"
Inferno	Defenselessness Other V	"{""key"": 266, ""value"": { ""casting_likelihood"": 2.02}}"
Inferno	Burning Earth	"{""key"": 3943, ""value"": { ""casting_likelihood"": 2.02}}"
Infused Blood Golem	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Infused Blood Golem	Tusker's Gift	"{""key"": 2166, ""value"": { ""casting_likelihood"": 2.02}}"
Infused Empyrean Blood Golem	Gossamer Flesh	"{""key"": 2074, ""value"": { ""casting_likelihood"": 2.02}}"
Infused Empyrean Blood Golem	Tusker's Gift	"{""key"": 2166, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Bludgeoning Vulnerability Other V	"{""key"": 1052, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Cold Vulnerability Other V	"{""key"": 1064, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Lightning Vulnerability Other V	"{""key"": 1088, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Fire Vulnerability Other V	"{""key"": 1107, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Blade Vulnerability Other V	"{""key"": 1131, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Piercing Vulnerability Other V	"{""key"": 1155, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Imperil Other V	"{""key"": 1326, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Weakness Other V	"{""key"": 1342, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Fester Other V	"{""key"": 175, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Vulnerability Other V	"{""key"": 233, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Defenselessness Other V	"{""key"": 266, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Magic Yield Other IV	"{""key"": 283, ""value"": { ""casting_likelihood"": 2.02}}"
Inkitan the Crazed	Acid Stream VI	"{""key"": 63, ""value"": { ""casting_likelihood"": 2.02}}"
Innocent Doll	Lightning Vulnerability Other III	"{""key"": 1086, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Aggregate Crystalline Wisp	Corrosive Ring	"{""key"": 3881, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Aggregate Crystalline Wisp	Incendiary Ring	"{""key"": 3882, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Aggregate Crystalline Wisp	Glacial Ring	"{""key"": 3884, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Corroding Crystalline Wisp	Acid Volley VI	"{""key"": 130, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Corroding Crystalline Wisp	Disintegration	"{""key"": 2122, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Corroding Crystalline Wisp	Celdiseth's Searing	"{""key"": 2123, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Corroding Crystalline Wisp	Acid Stream VI	"{""key"": 63, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Incalescent Crystalline Wisp	Flame Volley VI	"{""key"": 146, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Incalescent Crystalline Wisp	Ilservian's Flame	"{""key"": 2128, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Incalescent Crystalline Wisp	Infernae	"{""key"": 2130, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Incalescent Crystalline Wisp	Flame Bolt VI	"{""key"": 85, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Incalescent Pillar	Fire Vulnerability Other IV	"{""key"": 1106, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Incalescent Pillar	Sizzling Fury	"{""key"": 2129, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Shivering Crystalline Wisp	Frost Volley VI	"{""key"": 138, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Shivering Crystalline Wisp	Icy Torment	"{""key"": 2136, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Shivering Crystalline Wisp	Blizzard	"{""key"": 2138, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Shivering Crystalline Wisp	Frost Bolt VI	"{""key"": 74, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Shivering Pillar	Cold Vulnerability Other IV	"{""key"": 1063, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Shivering Pillar	Sudden Frost	"{""key"": 2137, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Voltaic Crystalline Wisp	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Intense Voltaic Crystalline Wisp	Tempest	"{""key"": 2142, ""value"": { ""casting_likelihood"": 2.02}}"
Intricate Mukkir Orb	Aliester's Blessing	"{""key"": 2195, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Knight	Incantation of Lightning Blast	"{""key"": 4450, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Knight	Incantation of Lightning Bolt	"{""key"": 4451, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Knight	Incantation of Lightning Vulnerability Other	"{""key"": 4483, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Phalanx	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Phalanx	Astyrrian's Gift	"{""key"": 2172, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Squire	Luminous Wrath	"{""key"": 2139, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Squire	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Bronze Gauntlet Squire	Astyrrian's Gift	"{""key"": 2172, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Copper Cog Knight	Incantation of Lightning Blast	"{""key"": 4450, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Copper Cog Knight	Incantation of Lightning Vulnerability Other	"{""key"": 4483, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Copper Cog Phalanx	Luminous Wrath	"{""key"": 2139, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Copper Cog Phalanx	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Copper Cog Phalanx	Astyrrian's Gift	"{""key"": 2172, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Copper Cog Squire	Luminous Wrath	"{""key"": 2139, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Copper Cog Squire	Astyrrian's Gift	"{""key"": 2172, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Commander	Incantation of Lightning Blast	"{""key"": 4450, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Commander	Incantation of Lightning Bolt	"{""key"": 4451, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Knight	Incantation of Lightning Blast	"{""key"": 4450, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Knight	Incantation of Lightning Bolt	"{""key"": 4451, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Knight	Incantation of Lightning Vulnerability Other	"{""key"": 4483, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Phalanx	Luminous Wrath	"{""key"": 2139, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Phalanx	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Phalanx	Astyrrian's Gift	"{""key"": 2172, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Squire	Luminous Wrath	"{""key"": 2139, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Squire	Alset's Coil	"{""key"": 2140, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Iron Blade Squire	Astyrrian's Gift	"{""key"": 2172, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Silver Scope Knight	Incantation of Lightning Blast	"{""key"": 4450, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Silver Scope Knight	Incantation of Lightning Bolt	"{""key"": 4451, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Silver Scope Knight	Incantation of Lightning Vulnerability Other	"{""key"": 4483, ""value"": { ""casting_likelihood"": 2.02}}"
Invading Silver Scope Phalanx	Luminous Wrath	"{""key"": 2139, ""value"": { ""casting_likelihood"": 2.02}}"
